ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
490001128N,75433,,,Hackney Downs Station,,,,---,,---,,--,,Stop N,,E,N0060500,Hackney,London,,,,,,0,U,534512,185118,-0.061431832,51.54892944,BCT,MKD,OTH,,,,82,2017-05-24T11:22:08,2021-03-14T20:53:03,2,rev,act
490001128O,74509,,,Hackney Downs Station,,,,---,,AMHURST ROAD,,--,,Stop D,,W,N0060500,Hackney,London,,,,,,0,U,534534,185203,-0.061082262,51.54968803,BCT,MKD,OTH,,,,82,2017-05-24T11:22:08,2021-03-14T20:53:03,2,rev,act
490000266G,91532,,,Westminster Station  Parliament Square,,,,---,,---,,--,,Stop G,,S,E0034961,Westminster,London,,,,,,0,U,530171,179738,-0.125988149,51.5015987,BCT,MKD,OTH,,,,82,2015-09-14T13:20:05,2015-09-14T13:20:05,0,rev,act
490002085S,,,,Westminster Pier,,,,---,,---,,--,,Stop K,,S,E0034961,Westminster,London,,,,,,0,U,530310,179741,-0.12398559,51.50159366,BCT,MKD,OTH,,,,82,2017-07-26T08:41:05,2020-04-21T11:55:08,2,rev,act
490003001E,55309,,,Clarence Road Hackney,,,,---,,DALSTON LANE,,--,,Stop Q,,E,N0060500,Hackney,London,,,,,,0,U,534887,185197,-0.05599658,51.54954991,BCT,MKD,OTH,,,,82,2016-06-15T09:32:03,2016-06-15T09:32:03,0,rev,act
490008501P,56430,,,The City Academy,,,,---,,---,,--,,Stop P,,S,N0060500,Hackney,London,,,,,,0,U,535258,185163,-0.050662249,51.54915565,BCT,MKD,OTH,,,,82,2015-04-24T13:38:01,2015-04-24T13:38:01,0,rev,act
490003059D,74818,,,Parliament Square,,,,---,,ABINGDON STREET,,--,,Stop M,,N,E0034961,Westminster,London,,,,,,0,U,530185,179333,-0.125935871,51.49795589,BCT,MKD,OTH,,,,82,2016-07-06T15:06:09,2021-07-01T12:05:06,1,rev,act
490003059E,58284,,,Abingdon Street,,,,---,,---,,--,,Stop L,,S,E0034961,Westminster,London,,,,,,0,U,530209,179293,-0.125605071,51.4975909,BCT,MKD,OTH,,,,82,2015-04-01T15:41:07,2021-07-09T10:06:04,1,rev,act
490003059N,,,,Abingdon Street,,,,---,,---,,--,,Stop N,,N,E0034961,Westminster,London,,,,,,0,U,530198,179247,-0.125780403,51.49718005,BCT,MKD,OTH,,,,82,2015-04-01T15:41:07,2021-07-13T08:50:18,1,del,del
490009644E,54101,,,Graham Road  Hackney Central,,,,---,,GRAHAM ROAD,,--,,Stop E,,W,N0060500,Hackney,London,,,,,,0,U,534837,184861,-0.056845911,51.54654249,BCT,MKD,OTH,,,,82,2016-07-29T15:31:09,2016-07-29T15:31:09,0,rev,act
490009644G,57705,,,Hackney Central  Mare Street,,,,---,,---,,--,,Stop G,,E,N0060500,Hackney,London,,,,,,0,U,534909,184880,-0.05580093,51.54669603,BCT,MKD,OTH,,,,82,2016-08-03T11:41:03,2016-08-03T11:41:03,0,rev,act
490007220Y,58827,,,Lower Clapton Road,,,,---,,MEDIAN ROAD,,--,,Stop Y,,W,N0060500,Hackney,London,,,,,,0,U,535235,185430,-0.050891204,51.55156047,BCT,MKD,OTH,,,,82,2015-04-24T11:35:06,2015-04-24T11:35:06,0,rev,act
490007220Z,74543,,,Glenarm Road,,,,---,,LOWER CLAPTON ROAD,,--,,Stop Z,,N,N0060500,Hackney,London,,,,,,0,U,535145,185455,-0.052178875,51.55180667,BCT,MKD,OTH,,,,82,2015-04-24T15:10:06,2015-04-24T15:10:06,0,rev,act
490003384SA,72807,,,Westminster City Hall,,,,---,,VICTORIA STREET,,--,,Stop SA,,E,E0034961,Westminster,London,,,,,,0,U,529444,179255,-0.13663328,51.49742493,BCT,MKD,OTH,,,,82,2015-12-16T14:25:03,2015-12-16T14:25:03,0,rev,act
490003384SB,54915,,,Westminster City Hall,,,,---,,VICTORIA STREET,,--,,Stop SB,,W,E0034961,Westminster,London,,,,,,0,U,529388,179223,-0.137451276,51.49715016,BCT,MKD,OTH,,,,82,2015-12-16T14:25:03,2015-12-16T14:25:03,0,rev,act
490009411W,55566,,,Jack Dunning Estate,,,,---,,---,,--,,Stop W,,N,N0060500,Hackney,London,,,,,,0,U,535217,185279,-0.051208649,51.55020787,BCT,MKD,OTH,,,,82,2015-04-24T11:33:05,2015-04-24T11:33:05,0,rev,act
490009411X,71453,,,Jack Dunning Estate,,,,---,,---,,--,,Stop X,,S,N0060500,Hackney,London,,,,,,0,U,535230,185267,-0.05102588,51.55009692,BCT,MKD,OTH,,,,82,2015-04-24T11:33:05,2015-04-24T11:33:05,0,rev,act
4900WMR0,,,,Westminster Pier,,,,---,,---,,--,,Entrance 1,,,E0034961,Westminster,London,,,,,,0,U,530336,179738,-0.123612325,51.50156072,FTD,,,,,,82,2017-07-26T08:41:05,2020-04-21T11:55:08,2,rev,act
490005338E,,,,Clapton Bus Garage,,,,---,,---,,--,,Stop,,E,N0060500,Hackney,London,,,,,,0,U,535005,184935,-0.054396238,51.54716733,BCT,MKD,OTH,,,,82,2009-10-21T15:03:07,2013-09-12T15:27:42,2,del,del
