ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
1900HAA91631,hamjtpjg,,,Erskine Road,en,,,,,Sparkford Road,en,,,S-bound,en,S,E0055970,Winchester,,,,,,,0,U,447341,129137,-1.32586116,51.05962986,BCT,CUS,OTH,,,,84,2015-01-23T00:00:00,2018-09-24T10:00:37,80,new,act
1900HAA91632,hamjtpjm,,,King Alfred Place,en,,,,,Hyde Street,en,,,S-bound,en,,E0055970,Winchester,,,,,,,0,U,448101,130140,-1.314884379,51.06858531,BCT,HAR,OTH,,,,84,2015-01-23T00:00:00,2020-09-14T11:39:23,102,new,act
1900HAA91633,hamjtpjp,,,King Alfred Place,en,,,,,Hyde Street,en,,,N-bound,en,,E0055970,Winchester,,,,,,,0,U,448084,130137,-1.315127381,51.06855976,BCT,HAR,OTH,,,,84,2015-01-23T00:00:00,2020-09-14T11:39:23,120,new,act
1900HA110122,hamdgmaj,,,Erskine Road,en,,,,,Sparkford Road,en,,,N-bound,en,N,E0055970,Winchester,,,,,,,0,U,447328,129114,-1.326049646,51.05942412,BCT,MKD,OTH,,,,84,2021-09-22T13:42:40,2020-11-11T09:03:39,29,new,act
1900HA110101,hamdgpmg,,,Westgate,en,,,,,Sussex Street,en,,,Stop Pa,en,S,E0055970,Winchester,,,,,,,0,U,447781,129651,-1.319515486,51.06421513,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2020-05-07T14:36:32,12,new,act
1900HA110102,hamdgwgd,,,North Walls,en,,,,,North Walls,en,,,SE-bound,en,SE,E0055970,Winchester,,,,,,,0,U,448314,129778,-1.311892945,51.06531255,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2016-01-12T10:28:57,4,new,act
1900HA110103,hamdgtgp,,,City Road,en,,,,,City Road,en,,,Stop Rd,en,E,E0055970,Winchester,,,,,,,0,U,447993,129883,-1.31645965,51.06628352,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2018-01-06T16:07:13,12,new,act
1900HA110104,hamdgtdt,,,City Road,en,,,,,City Road,en,,,Stop Rc,en,W,E0055970,Winchester,,,,,,,0,U,447977,129876,-1.316688898,51.06622191,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2020-05-07T14:44:38,14,new,act
1900HA110105,hamdgtda,,,City Road,en,,,,,City Road,en,,,Stop Rb,en,W,E0055970,Winchester,,,,,,,0,U,447959,129882,-1.316944965,51.06627736,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2020-05-07T14:43:53,14,new,act
1900HA110106,hamdgpwp,,,City Road,en,,,,,City Road,en,,,Stop Ra,en,NW,E0055970,Winchester,,,,,,,0,U,447954,129885,-1.317015919,51.06630475,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2020-05-07T14:42:57,20,new,act
1900HA110067,hamdgwda,,,Upper Brook Street,en,,,,,St George's Street,en,,,adj,en,NW,E0055970,Winchester,,,,,,,0,U,448246,129479,-1.312903077,51.0626298,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2020-02-06T13:14:40,23,new,act
1900HAA91012,hamjmwmj,,,Broadway Guildhall,en,,,,,The Broadway,en,,,Stand 4,en,NW,E0055970,Winchester,,,,,,,0,U,448462,129339,-1.309839693,51.06135284,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2017-06-29T07:34:15,11,new,act
1900HAA91013,hamjmwmp,,,Jewry Street,en,,,,,Jewry Street,en,,,Stop U,en,N,E0055970,Winchester,,,,,,,0,U,448018,129631,-1.316136273,51.06401557,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2015-03-03T11:04:26,8,new,act
1900HAA91014,hamjmwmt,,,Broadway St Johns,en,,,,,The Broadway,en,,,Stand 8,en,SE,E0055970,Winchester,,,,,,,0,U,448480,129354,-1.309580853,51.06148619,BCT,MKD,OTH,,,,84,2021-09-22T13:42:38,2017-06-29T07:32:36,22,new,act
1900HA110058,hamdgwmg,,,Bus Station,en,,,,,Bus Station,en,,,Drop Off,en,,E0055970,Winchester,,,,,,,0,U,448426,129382,-1.310347619,51.0617425,BCS,,,,,,84,2021-09-22T13:42:37,2021-01-31T13:43:58,15,new,act
